month,solved,day_of_week,avg_solve_time
2019-01,1,Mon,7.7
2019-01,1,Tue,16.7
2019-01,1,Wed,25.9
2019-01,2,Tue,24.8
2019-01,2,Thu,33.7
2019-01,2,Wed,22.6
2019-02,1,Wed,20.9
2019-02,1,Tue,10.8
2019-02,1,Mon,8.7
2019-02,2,Thu,32.7
2019-02,2,Tue,21.1
2019-02,2,Mon,11
2019-03,1,Mon,12.9
2019-03,1,Tue,16.3
2019-03,1,Wed,23.4
2019-03,1,Thu,37
2019-03,2,Wed,27.9
2019-03,2,Tue,22.3
2019-03,2,Mon,14
2019-04,1,Wed,15.6
2019-04,1,Tue,13.3
2019-04,1,Thu,36.9
2019-04,1,Mon,8.9
2019-04,1,Sun,58.5
2019-05,1,Mon,10.1
2019-05,1,Tue,16.2
2019-05,1,Thu,31.6
2019-05,1,Sun,60.9
2019-05,1,Wed,24.3
2019-05,2,Thu,38.5
2019-05,2,Wed,22.3
2019-05,2,Sun,53.9
2019-05,2,Tue,18.6
2019-06,1,Mon,8.7
2019-06,1,Tue,17.7
2019-06,1,Wed,24.1
2019-06,1,Sun,59
2019-06,2,Tue,20
2019-06,2,Sun,55.2
2019-06,2,Thu,46
2019-07,1,Mon,8.1
2019-07,1,Tue,14.7
2019-07,1,Wed,24
2019-07,1,Sun,47.4
2019-07,1,Thu,24.7
2019-07,2,Thu,28.9
2019-08,1,Sun,59.9
2019-08,1,Wed,24.4
2019-08,1,Mon,10.8
2019-08,1,Tue,18.9
2019-08,1,Thu,33.7
2019-08,2,Wed,26.6
2019-08,2,Sun,53.1
2019-09,1,Mon,12.3
2019-09,1,Sun,52.5
2019-09,1,Thu,29.2
2019-09,1,Wed,19.1
2019-09,1,Tue,16.5
2019-09,2,Wed,25.1
2019-09,2,Sun,65.5
2019-10,1,Tue,13.3
2019-10,1,Sun,59.6
2019-10,1,Mon,9.4
2019-10,1,Wed,20.5
2019-10,1,Thu,30
2019-10,2,Wed,18.8
2019-10,2,Thu,36
2019-10,2,Tue,15.9
2019-11,1,Wed,18.6
2019-11,1,Thu,27.7
2019-11,1,Mon,9.6
2019-11,1,Tue,12.3
2019-11,1,Sun,60
2019-11,2,Wed,26.1
2019-12,1,Sun,58
2019-12,1,Mon,7.6
2019-12,1,Wed,13.5
2019-12,1,Tue,13.3
2019-12,1,Thu,35.6
2019-12,2,Wed,32.7
2020-01,1,Sun,49.8
2020-01,1,Tue,13.3
2020-01,1,Thu,32.2
2020-01,1,Mon,9.4
2020-01,1,Wed,20.8
2020-01,2,Thu,26
2020-01,2,Sun,72.8
2020-02,1,Mon,8.9
2020-02,1,Wed,22.1
2020-02,1,Thu,29.2
2020-02,1,Sun,44
2020-02,1,Tue,10.4
2020-03,1,Sun,56.3
2020-03,1,Tue,14.2
2020-03,1,Thu,25.1
2020-03,1,Wed,20.7
2020-03,1,Mon,7.9
2020-03,2,Wed,23.4
2020-04,1,Mon,7.7
2020-04,1,Wed,21.3
2020-04,1,Sun,51.6
2020-04,1,Tue,11.4
2020-04,1,Thu,26.4
2020-04,2,Thu,27.9
2020-05,1,Tue,10
2020-05,1,Sun,54.8
2020-05,1,Mon,9.6
2020-05,1,Wed,20.2
2020-05,1,Thu,24.4
2020-06,1,Wed,18.9
2020-06,1,Thu,28.8
2020-06,1,Sun,51.4
2020-06,1,Tue,14.2
2020-06,1,Mon,7.2
2020-07,1,Mon,7.7
2020-07,1,Sun,52.6
2020-07,1,Tue,12.8
2020-07,1,Wed,18.2
2020-07,1,Thu,21.9
2020-08,1,Mon,7.9
2020-08,1,Sun,43.1
2020-08,1,Tue,13
2020-08,1,Wed,14.6
2020-08,1,Thu,27.4
2020-09,1,Tue,12.5
2020-09,1,Wed,14.3
2020-09,1,Thu,24.7
2020-09,1,Sun,46.8
2020-09,1,Mon,8.5
2020-10,1,Mon,8
2020-10,1,Wed,17.2
2020-10,1,Tue,10
2020-10,1,Thu,23.7
2020-10,1,Sun,49.3
2020-10,2,Thu,30.6
2020-11,1,Sun,48.1
2020-11,1,Mon,8.1
2020-11,1,Tue,10.5
2020-11,1,Wed,17.7
2020-11,1,Thu,25.4
2020-12,1,Tue,9
2020-12,1,Thu,17.3
2020-12,1,Sun,40.2
2020-12,1,Wed,14.3
2020-12,1,Mon,9.1
2020-12,2,Wed,22
2021-01,1,Wed,12.5
2021-01,1,Sun,47.9
2021-01,1,Mon,7.8
2021-01,1,Tue,14.3
2021-01,1,Thu,21.1
2021-02,1,Mon,9.5
2021-02,1,Wed,16.1
2021-02,1,Thu,32.8
2021-02,1,Sun,44.8
2021-02,1,Tue,11.3
2021-03,1,Tue,12.9
2021-03,1,Mon,7.5
2021-03,1,Thu,22.9
2021-03,1,Sun,43.7
2021-03,1,Wed,18.2
2021-04,1,Sun,40.2
2021-04,1,Thu,23.8
2021-04,1,Tue,9.9
2021-04,1,Wed,15
2021-04,1,Mon,8.6
2021-04,2,Sun,43.1
2021-05,1,Sun,30.9
2021-05,1,Tue,8.6
2021-05,1,Wed,12.4
2021-05,1,Mon,7.7
2021-05,1,Thu,31.3
2021-05,2,Sun,51.3